TS,V1,V2,V3,W1,W2,W3
1497414600,214.1058293,215.2975517,215.1905821,191.0893621,100.0964991,359.6162052
1498095000,217.5107214,236.8271712,225.8122098,139.180836,77.0007047,109.7456771
1508117400,219.6708179,224.0858304,228.0105524,0.020007152,0.258080903,6.553361594
1508304600,220.3369517,221.667517,221.7792687,0.008124076,0.024372228,1.797810287
1497580200,221.0589465,228.2832,226.8484642,54.61682708,16.96656593,45.82162591
1506144600,221.9251088,233.3719986,229.651905,0.34336482,0.740931239,0.262614632
1508419800,222.0556292,224.7293477,223.7985645,0.008453527,0.025360582,1.780799332
1489120200,222.0786452,233.2266073,222.7586287,137.168195,115.3743868,170.9751416
1494671400,222.2038465,222.6438635,229.4802171,104.8057166,124.2332929,0.64319362
1496982600,222.9043281,224.9481654,225.2350651,147.8786023,0.03740305,283.386357
1504143000,222.9906786,225.25564,228.020541,0.011236037,0.033708112,1.623918858
1510633800,223.0295846,234.4412271,224.82349,0.013267223,0.039801669,2.725101204
1495441800,223.1896424,234.3977437,228.773945,166.5251946,9.942892189,172.6067462
1500622200,223.245059,241.6807884,224.1899644,33.30188477,30.82394254,60.91431723
1497418200,223.410037,225.9677563,225.3698552,176.0092158,58.0966954,202.3779419
1497159000,223.6234108,225.6434324,224.6562213,152.2112626,84.09402674,304.8850706
1505964600,223.7390507,230.9286844,228.9578485,0.013891016,0.041673048,1.793189392
1500003000,223.8853474,225.8626542,226.4518686,116.948819,161.5424882,241.8837931
1499059800,223.9995398,232.6126245,227.664522,296.3386222,32.13002031,169.5201017
1500784200,224.12558,231.0619905,225.8887002,115.6769423,0.015329005,228.8079977
1489570200,224.2510125,226.2390558,225.5522148,122.5334072,88.21417861,86.92001897
1497922200,224.2817677,231.1804294,227.6699819,327.1996411,58.77898464,245.6083531
1504107000,224.3841673,233.056486,228.8267933,0.007446785,0.022340356,0.933428377
1492702200,224.4275638,245.9504944,227.4985662,118.4050278,212.737033,147.7871859
1495855800,224.4653279,226.3861675,225.832469,98.80099629,221.1901912,303.5289107
1496460600,224.4911795,227.327526,227.5137499,112.9812645,107.1156949,162.5435399
1502339400,224.5164177,230.7413317,226.1678773,182.1250158,116.8339308,139.3128814
1511357400,224.5448498,234.9250711,230.7811708,0.000801204,0.002403611,0.112648239
1498973400,224.5510616,230.2503126,227.1918009,132.2566226,93.02465116,491.619443
1498019400,224.5896148,233.0082929,227.2566698,161.0265868,3.310949486,197.7659199
1493991000,224.6084293,226.7041011,226.4105886,87.63911315,35.16483028,130.4544368
1494653400,224.8161457,231.1688759,226.9798147,153.0916245,104.8262419,57.8418234
1503207000,224.8204353,229.3736086,226.6663879,124.8746526,0.154885165,1057.14967
1510057800,224.8533708,225.8898179,225.0149643,0.012352515,0.037057544,2.631474126
1493526600,224.8600177,226.9922818,229.2132026,186.234487,64.49318123,310.7557911
1527714000,224.8739353,232.8117673,229.2800692,188.01657,0.144541976,68.09844142
1497497400,224.8945148,232.9170544,227.1581132,284.3223769,58.40297467,151.6292238
1503754200,224.9652585,228.0045689,227.1540738,87.92884131,0.012726828,149.8839668
1502418600,225.0158142,225.3710683,229.6674105,63.20249137,102.8042689,54.06831639
